"city","live_pincode","has_trainer","nearest_live_with_trainer"
"chennai","600117","NO","600010"
"chennai","600118","NO","600010"
"chennai","600119","NO","600010"
"chennai","600120","NO","600010"
"pune","411011","NO","411010"
"pune","411012","NO","411010"
"pune","411013","NO","411010"
"pune","411014","NO","411010"
"pune","411015","NO","411010"
"pune","411016","NO","411010"
"pune","411017","NO","411010"
"pune","411018","NO","411010"
"pune","411019","NO","411010"
"pune","411020","NO","411010"
"pune","411021","NO","411010"
"pune","411022","NO","411010"
"pune","411023","NO","411010"
"pune","411024","NO","411010"
"pune","411025","NO","411010"
"pune","411026","NO","411010"
"pune","411027","NO","411010"
"pune","411028","NO","411010"
"pune","411029","NO","411010"
"pune","411030","NO","411010"
"pune","411031","NO","411010"
"pune","411032","NO","411010"
"pune","411033","NO","411010"
"pune","411034","NO","411010"
"pune","411035","NO","411010"
"pune","411036","NO","411010"
"pune","411037","NO","411010"
"pune","411038","NO","411010"
"pune","411039","NO","411010"
"pune","411040","NO","411010"
"pune","411041","NO","411010"
"pune","411042","NO","411010"
"pune","411043","NO","411010"
"pune","411044","NO","411010"
"pune","411045","NO","411010"
"pune","411046","NO","411010"
"pune","411047","NO","411010"
"pune","411048","NO","411010"
"pune","411049","NO","411010"
"pune","411050","NO","411010"
"pune","411051","NO","411010"
"pune","411052","NO","411010"
"pune","411053","NO","411010"
"pune","411054","NO","411010"
"pune","411055","NO","411010"
"pune","411056","NO","411010"
"pune","411057","NO","411010"
"pune","411058","NO","411010"
"pune","411059","NO","411010"
"pune","411060","NO","411010"
"pune","411061","NO","411010"
"pune","411062","NO","411010"
"pune","411063","NO","411010"
"pune","411064","NO","411010"
"pune","411065","NO","411010"
"pune","411066","NO","411010"
"pune","411067","NO","411010"
"pune","411068","NO","411010"
"kolkata","700011","NO","700010"
"kolkata","700012","NO","700010"
"kolkata","700013","NO","700010"
"kolkata","700014","NO","700010"
"kolkata","700015","NO","700010"
"kolkata","700016","NO","700010"
"kolkata","700017","NO","700010"
"kolkata","700018","NO","700010"
"kolkata","700019","NO","700010"
"kolkata","700020","NO","700010"
"kolkata","700021","NO","700010"
"kolkata","700022","NO","700010"
"kolkata","700023","NO","700010"
"kolkata","700024","NO","700010"
"kolkata","700025","NO","700010"
"kolkata","700026","NO","700010"
"kolkata","700027","NO","700010"
"kolkata","700028","NO","700010"
"kolkata","700029","NO","700010"
"kolkata","700030","NO","700010"
"kolkata","700031","NO","700010"
"kolkata","700032","NO","700010"
"kolkata","700033","NO","700010"
"kolkata","700034","NO","700010"
"kolkata","700035","NO","700010"
"kolkata","700036","NO","700010"
"kolkata","700037","NO","700010"
"kolkata","700038","NO","700010"
"kolkata","700039","NO","700010"
"kolkata","700040","NO","700010"
"kolkata","700041","NO","700010"
"kolkata","700042","NO","700010"
"kolkata","700043","NO","700010"
"kolkata","700044","NO","700010"
"kolkata","700045","NO","700010"
"kolkata","700046","NO","700010"
"kolkata","700047","NO","700010"
"kolkata","700048","NO","700010"
"kolkata","700049","NO","700010"
"kolkata","700050","NO","700010"
"kolkata","700051","NO","700010"
"kolkata","700052","NO","700010"
"kolkata","700053","NO","700010"
"kolkata","700054","NO","700010"
"kolkata","700055","NO","700010"
"kolkata","700056","NO","700010"
"kolkata","700057","NO","700010"
